Size	Run	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Node:28	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27	Seq:28	
2	0	712179	1189582																											5988460	16361431																										
2	1	664896	1280387																											5273219	17103152																										
2	2	606083	1250941																											5471294	16757059																										
2	3	683402	1269460																											5597343	16960267																										
2	4	539553	1321471																											4329744	17279663																										
2	5	491987	1339208																											4008967	17790967																										
2	6	482622	1346153																											3735806	17585389																										
2	7	737570	1201527																											6317769	16469757																										
2	8	713298	1213392																											6466180	16454069																										
2	9	743054	1195691																											6138053	16406699																										
2	10	628338	1273782																											5335029	16937633																										
2	11	575349	1300404																											4878145	17141159																										
2	12	539221	1316512																											4715774	17270040																										
2	13	630108	1253567																											5489932	16770100																										
2	14	529825	1304176																											4290021	17235912																										
2	15	534260	1311899																											4782133	17244781																										
2	16	605551	1287593																											4982123	17003885																										
2	17	754775	1177504																											6653769	16216941																										
2	18	733036	1190366																											6274125	16396039																										
2	19	622250	1274870																											5547302	16879192																										
3	0	541150	495652	1082332																										5837883	3257620	15719176																									
3	1	463349	440100	1118621																										4977462	2893095	15971709																									
3	2	371785	355025	1232200																										3861443	2404368	16673568																									
3	3	526225	486457	1088115																										5089499	3192500	15735360																									
3	4	469788	447888	1110266																										4869282	2921510	15906546																									
3	5	466503	460193	1147193																										4421377	2930964	16225432																									
3	6	419818	410916	1172743																										4485781	2563742	16345624																									
3	7	509596	495335	1088160																										4999010	3159536	15759434																									
3	8	456449	439500	1157705																										4467618	2816245	16190233																									
3	9	553905	509812	1041189																										6942735	3466997	15439534																									
3	10	424894	406108	1209027																										4118561	2623709	16635970																									
3	11	439363	412857	1162020																										4534931	2673691	16211833																									
3	12	525514	476473	1086281																										5300953	3053585	15732942																									
3	13	470741	483210	1101720																										6437791	3111089	15824189																									
3	14	528858	427835	1103497																										5582071	2759997	15808195																									
3	15	540891	466513	1083415																										5632994	2942984	15769036																									
3	16	497573	451392	1125275																										5088682	2801872	15989063																									
3	17	515414	486873	1092367																										5528532	3182912	15684728																									
3	18	465930	438398	1136107																										4698467	2763460	16103221																									
3	19	431876	432071	1171109																										4588796	2832968	16315157																									
4	0	422862	298000	385512	1054285																									4706194	2267745	2197353	15639425																								
4	1	493839	341464	455757	943544																									5835804	2672287	2588402	14943152																								
4	2	440471	264167	390488	1052097																									5148410	1884648	2308597	15584742																								
4	3	475525	287532	436870	995987																									5541142	2038260	2580594	15251491																								
4	4	439993	275601	404943	1026523																									5123163	1949079	2466939	15396789																								
4	5	450496	337167	391999	982343																									6763420	2696481	2267843	15070804																								
4	6	466572	284306	425029	989145																									6133842	2211029	2716307	15197831																								
4	7	447357	315112	408828	1024740																									4882294	2403172	2348281	15484166																								
4	8	441398	331953	397097	1013021																									4829065	2598580	2295770	15386399																								
4	9	476161	332211	446506	960533																									5426894	2435992	2576747	15037866																								
4	10	481699	293321	491047	957017																									5828472	2112968	2929894	15013234																								
4	11	448197	289159	430031	1010791																									5231651	2243455	2521279	15305204																								
4	12	489828	305189	436037	975730																									5863498	2209936	2602489	15042666																								
4	13	484237	318346	443603	981823																									5593899	2412626	2652774	15113332																								
4	14	412112	272286	394599	1067651																									4658758	1993688	2385605	15672043																								
4	15	468422	294298	425775	1010786																									5207300	2199835	2490308	15306795																								
4	16	455279	308873	405700	992866																									5097846	2423087	2400754	15161973																								
4	17	469525	306084	422160	983783																									6116794	2363243	2570398	15159864																								
4	18	464374	305158	451109	997861																									5472235	2240503	2702097	15256662																								
4	19	388794	291447	337355	1061440																									4423129	2337879	1957908	15633183																								
5	0	434152	242349	264771	391212	942727																								5373170	1989772	1768097	2176548	14982347																							
5	1	455129	236066	263935	394689	929040																								5543893	1850053	1726357	2254216	14909180																							
5	2	405783	248427	246535	399305	964389																								4921745	1960305	1683305	2277392	15160305																							
5	3	442861	237277	272257	398799	909772																								5614552	2006459	1854196	2263497	14689140																							
5	4	466536	264490	274059	412654	889214																								6234871	2198348	1874742	2280864	14592618																							
5	5	391599	282940	276955	331257	950775																								4823386	2743143	1932626	1903919	14905703																							
5	6	471973	263714	271225	397801	897717																								5518280	2215426	1871640	2303875	14642062																							
5	7	464832	253926	217935	369167	941654																								5699329	2246042	1379566	2185514	14845826																							
5	8	396672	248349	247225	335003	1000837																								4867270	2134702	1701533	1849025	15313898																							
5	9	304380	241188	198201	299634	1058033																								3722097	1984784	1301305	1780379	15659891																							
5	10	379569	228555	234417	358270	1013109																								4426197	1899623	1571455	2051612	15412953																							
5	11	459878	280911	293399	403231	867379																								6919202	2619591	1876600	2369986	14410106																							
5	12	428238	232962	236346	381117	981620																								5127519	1950247	1579764	2069938	15274769																							
5	13	443544	267369	289821	361423	936501																								5128091	2429604	1950902	1947592	14960729																							
5	14	472757	226804	265528	397274	918089																								6071474	1783552	1837288	2225398	14772676																							
5	15	420727	261693	231655	374287	954791																								5152891	2156634	1570121	2082843	15022294																							
5	16	404322	238536	238632	388575	980663																								5170194	1933631	1526297	2257372	15219216																							
5	17	477159	269194	263468	394426	889419																								5948609	2254888	1731929	2212005	14590686																							
5	18	448740	242056	275368	377875	916821																								6285562	1998909	2025262	2129941	14820710																							
5	19	417315	300115	313624	345253	895529																								4985400	2780947	2134119	1998942	14590102																							
6	0	419445	221980	203986	248591	339622	884247																							4695681	2191357	1447900	1621433	1869822	14566608																						
6	1	381597	224490	239368	232306	327205	896045																							4831609	2079641	1869402	1422640	1875358	14674453																						
6	2	419106	203786	202812	209988	361210	913293																							5589068	1841995	1525431	1269795	1985332	14807517																						
6	3	341762	239233	193294	243107	288333	958724																							3814582	2548980	1386851	1572780	1517222	15100045																						
6	4	430039	231714	200601	242439	337892	880121																							5826928	2273141	1420726	1550893	1813196	14580191																						
6	5	380638	207335	168785	235206	320471	938427																							5132401	1896340	1183978	1621994	1704934	14935881																						
6	6	475932	234727	191859	263265	414557	814546																							6151231	2365056	1264789	1669689	2263130	14259695																						
6	7	414002	195143	193411	209359	364484	916194																							5698045	1705432	1476663	1290226	2027570	14804729																						
6	8	429146	221104	198716	248908	353449	869984																							6518485	2336426	1344090	1529038	1971215	14503184																						
6	9	396490	202999	173132	220623	348041	940970																							5353735	1845148	1231561	1429185	1915289	14978099																						
6	10	452444	245662	238272	264381	356773	820054																							5855017	2324077	1861816	1656930	1918234	14191006																						
6	11	436597	207210	203293	225847	369472	872300																							5779339	1894296	1408001	1471194	2051660	14520181																						
6	12	418673	202259	170005	224878	376614	890853																							5705529	1701728	1266048	1446088	2125818	14652486																						
6	13	424628	211703	187942	222132	372786	905953																							5653941	1893300	1348006	1429323	2081963	14749945																						
6	14	456342	224497	198536	235968	406833	839980																							6113917	2045551	1437821	1448297	2273303	14340069																						
6	15	423540	205736	188060	228123	351043	898877																							5234604	1862896	1383778	1397091	1983804	14694307																						
6	16	439896	217547	206720	213269	344278	881649																							5984452	2024466	1619791	1338782	1902661	14539283																						
6	17	465603	235286	215080	248750	383660	816197																							7474652	2291267	1550519	1546630	2099494	14164934																						
6	18	460465	201914	185327	249337	399956	856140																							7366886	1712958	1299205	1586988	2307582	14454742																						
6	19	386796	209971	160243	217317	350529	943972																							4950590	1930408	1139124	1436510	1919120	14990800																						
7	0	428632	211855	178077	175706	226773	370406	806385																						7165431	1997915	1448120	1201984	1306291	1987043	14212564																					
7	1	448878	207588	171514	172344	219177	364288	818793																						6261162	1891935	1358314	1181743	1276117	1984301	14237281																					
7	2	461764	217580	182078	188482	237095	369216	774124																						7598742	2461193	1406217	1285295	1412312	1988792	13921803																					
7	3	439486	213430	193618	174917	209978	353452	819700																						5880923	2062343	1626081	1193664	1188515	1856820	14325385																					
7	4	416806	217335	170167	184118	235395	294292	850555																						6583054	2403537	1298920	1256380	1448305	1485752	14433912																					
7	5	421989	219396	188358	192603	197669	339966	824598																						5150921	2278133	1675142	1334320	1150312	1872870	14235920																					
7	6	491098	207377	179969	190536	253183	384326	754528																						7984811	2118023	1421567	1234471	1570553	2034376	13890093																					
7	7	428975	208951	167639	178339	201759	331451	857695																						5794681	2023000	1305796	1222700	1198600	1801635	14493451																					
7	8	466160	223240	191368	198964	247554	342786	770048																						6272559	2233519	1543410	1253801	1540359	1855321	13901496																					
7	9	437708	196964	159763	155910	217282	375631	828906																						6253128	1759085	1217885	1120077	1250270	2109237	14338328																					
7	10	468158	214976	173705	187845	230231	416130	761971																						6226378	2162849	1379531	1234242	1355991	2272851	13965240																					
7	11	395217	223402	179532	195490	236526	331229	825136																						5052455	2183532	1490976	1322850	1438911	1878488	14207971																					
7	12	471195	223945	191185	199970	228243	371790	768209																						6682644	2163967	1594480	1372740	1324874	2005192	13927319																					
7	13	465989	205425	182688	190578	233782	381414	786184																						6456039	2023140	1469310	1363290	1374302	2059261	14046034																					
7	14	458124	208495	164071	188539	238281	351024	817433																						5969718	2166817	1265900	1227013	1463279	1859580	14285288																					
7	15	306109	276342	187454	190435	242121	245030	873510																						4000279	3183370	1559608	1323146	1418336	1314864	14531675																					
7	16	481634	205559	184404	185276	228319	379723	786097																						6123285	2026545	1409758	1194285	1386080	2010191	14119677																					
7	17	363583	240396	162965	163156	221403	279223	887349																						4746796	2730959	1334185	1021073	1403009	1535146	14603177																					
7	18	474396	197001	172022	177301	231612	385532	795019																						6339479	1906215	1283732	1199435	1448196	2083470	14156751																					
7	19	471500	219318	183672	189463	222905	370429	787308																						6309322	2155351	1409096	1280354	1306248	1968253	14092596																					
8	0	442440	180161	146505	148050	147314	225067	352265	782320																					7796378	1821470	1134747	1132602	884607	1384466	1876376	14042088																				
8	1	453492	201384	152067	150920	169233	222558	336854	770103																					7386855	2279564	1296739	1105205	1091427	1313248	1776198	13955248																				
8	2	461840	202724	168851	159994	182243	228874	352546	741171																					7024596	2219404	1578628	1145173	1160802	1318358	1862394	13844447																				
8	3	434239	199606	154036	152332	173216	231216	338681	776858																					6218693	2069673	1200297	1136258	1149595	1354438	1831113	14021870																				
8	4	431055	189596	155866	154075	152120	196733	334695	816218																					5599684	2079369	1289837	1146285	966263	1114010	1810769	14239965																				
8	5	464749	186233	165842	152910	150708	216410	369804	760082																					6581661	1766289	1457852	1129409	960849	1258681	2035516	13888488																				
8	6	397658	228279	170053	159393	165528	202032	310632	782525																					5403838	2442661	1418727	1322071	1129154	1085392	1733534	13990912																				
8	7	459268	202552	157305	150266	180646	215850	352099	752132																					6314960	2279957	1286286	1038610	1147028	1326285	1850284	13862636																				
