Size	Run	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Node:28	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27	Seq:28	
2	0	4014384	7097510																											34455785	99915135																										
2	1	3827909	7165869																											33493810	101216837																										
2	2	2684559	7871630																											24254307	105974686																										
2	3	2960585	7706408																											26057108	104312988																										
2	4	3624124	7415788																											30637630	102563378																										
2	5	3831146	7160403																											34852677	100869888																										
2	6	4167098	7113191																											36248788	100409263																										
2	7	3175313	7601685																											27382704	103733721																										
2	8	3360187	7447620																											30232725	102323035																										
2	9	3497317	7414647																											29914550	102386258																										
2	10	3669612	7322559																											30704449	101858862																										
2	11	3421587	7445418																											29679482	102534792																										
2	12	4121006	7023924																											35816171	99545383																										
2	13	3573360	7352879																											30622795	102090988																										
2	14	3645848	7364879																											32442911	102025077																										
2	15	3991076	7111880																											33946931	100210272																										
2	16	3115486	7531111																											27556973	103432057																										
2	17	3578839	7402964																											32331025	102244644																										
2	18	2935165	7726212																											25132000	104744542																										
2	19	3813987	7286210																											34519763	101445986																										
3	0	3023752	2681197	6304473																										32053745	17112261	95109854																									
3	1	2540987	2382061	6731659																										26449728	15515129	98062331																									
3	2	2872488	2584806	6526657																										31644099	16070513	96856164																									
3	3	2884122	2574123	6485486																										32729402	16695091	96209528																									
3	4	3067002	2834348	6198756																										32420221	18061917	94480115																									
3	5	3039869	2725384	6280411																										32220843	17517755	94840160																									
3	6	2952909	2670312	6356410																										32460388	17049148	95482702																									
3	7	3044062	2697747	6283136																										33006588	17219758	95000298																									
3	8	2730093	2534981	6662439																										27807231	16706271	97707991																									
3	9	2814623	2563219	6507089																										30705595	16528618	96429778																									
3	10	3309135	2899666	6042422																										35910460	18779554	93402907																									
3	11	3065246	2814696	6254128																										33483292	17785346	95075217																									
3	12	2261374	2045588	7039069																										24927954	14059189	99982634																									
3	13	2837793	2540531	6522990																										31187540	16077398	96644492																									
3	14	2813451	2586067	6530508																										31223626	16537384	96783496																									
3	15	2973315	2590808	6390991																										31441167	16822132	95343062																									
3	16	2445913	2229666	6862416																										26711139	14472119	98981014																									
3	17	2687630	2381908	6717795																										29633324	15709071	97727760																									
3	18	2475199	2157462	6873436																										26627322	14671697	98836582																									
3	19	2480036	2349038	6784184																										26671364	15664069	98349371																									
4	0	2830202	1759877	2410456	5727059																									33425330	13747765	14470213	91852886																								
4	1	2829500	1804249	2393124	5714200																									36115381	13823698	13818791	91754340																								
4	2	2819764	1800713	2350289	5738543																									34874602	13616365	13331521	91986206																								
4	3	2285259	1546934	2008017	6347593																									28914701	11861542	12134129	95749961																								
4	4	2734789	1644538	2281395	5951360																									35526941	11946966	13213416	93407944																								
4	5	2777022	1785240	2355977	5811396																									34698279	13355943	13492399	92404976																								
4	6	2241956	1452743	1960233	6417608																									27952644	11021393	11948547	96233102																								
4	7	2398831	1587418	2162822	6180564																									30032798	12196141	12764356	94748655																								
4	8	2643760	1768253	2337870	5856928																									32806061	13394619	13814427	92631935																								
4	9	2906696	1739411	2329951	5761085																									36201836	13289257	13576347	91931639																								
4	10	2808541	1661139	2303839	5868064																									34809314	12594357	13581500	92689504																								
4	11	2308993	1625845	2033103	6239355																									26299553	12499113	12190316	95183880																								
4	12	2768091	1618949	2348414	5871681																									34009074	11905420	13871064	92756196																								
4	13	2660132	1612225	2274059	5994005																									31692396	12126007	13531853	93656635																								
4	14	2538649	1632191	2275546	6005926																									30525918	12311923	13444599	93704974																								
4	15	2602393	1617047	2319015	5954950																									32386830	12566038	13893436	93103151																								
4	16	2572146	1640279	2241117	6022026																									32500119	12264683	13137539	93821375																								
4	17	2634901	1666696	2279120	5981815																									32295033	12657383	13049411	93693620																								
4	18	2783349	1886795	2346688	5690096																									34424476	14733470	13528112	91474294																								
4	19	2710316	1676588	2292168	5863088																									32331882	12911573	13731161	92529927																								
5	0	2639323	1577793	1500466	2086053	5368211																								33699058	13882878	10039936	11829107	89684051																							
5	1	2438324	1642278	1561662	1888863	5496926																								31175191	14767602	10991060	10264046	90430587																							
5	2	2696900	1446175	1444984	2245067	5315560																								36324618	12019309	9484098	12679722	89467031																							
5	3	2472354	1387443	1361738	2044595	5659936																								31030435	12301079	9262525	11379376	91767532																							
5	4	2599835	1328177	1342619	2145060	5569489																								33159778	11352699	9007827	12217718	91029309																							
5	5	2641941	1579051	1485261	2094393	5397631																								35155342	13758955	9800925	11588412	90209863																							
5	6	2533255	1453907	1459147	2064545	5551969																								32622960	12842183	9722132	11458355	91033530																							
5	7	2551390	1503675	1532977	2021090	5506500																								34327047	13645124	10305892	11095198	90697421																							
5	8	2881494	1528575	1564129	2327023	5089848																								39166765	13151988	10370391	12931351	88106206																							
5	9	2485173	1538226	1502124	2019612	5524767																								33498394	13399158	10064292	11115861	90905646																							
