Annotation	Freq	Accession	Assembly	Annotation2
45S rDNA	2	1741	Chromosome scaffolds	45S
5S rDNA	4	1741	Chromosome scaffolds	5S
Centromere	9	1741	Chromosome scaffolds	centromere
Transposable element	2	1741	Chromosome scaffolds	ClassII_Helitrons
Transposable element	2	1741	Chromosome scaffolds	ClassII_TIR
Other repeat	1	1741	Chromosome scaffolds	repeat_region
Telomere	6	1741	Chromosome scaffolds	telomere
None	6	1741	Chromosome scaffolds	NA
45S rDNA	1	6024	Chromosome scaffolds	45S
5S rDNA	2	6024	Chromosome scaffolds	5S
Centromere	11	6024	Chromosome scaffolds	centromere
Transposable element	5	6024	Chromosome scaffolds	ClassI_LTR
Transposable element	2	6024	Chromosome scaffolds	ClassI_nonLTR
Transposable element	1	6024	Chromosome scaffolds	ClassII_Helitrons
Other repeat	1	6024	Chromosome scaffolds	repeat_region
Telomere	8	6024	Chromosome scaffolds	telomere
None	3	6024	Chromosome scaffolds	NA
45S rDNA	2	6069	Chromosome scaffolds	45S
Centromere	10	6069	Chromosome scaffolds	centromere
Plastid	2	6069	Chromosome scaffolds	chloroplast
Transposable element	4	6069	Chromosome scaffolds	ClassI_LTR
Transposable element	1	6069	Chromosome scaffolds	ClassII_TIR
Telomere	8	6069	Chromosome scaffolds	telomere
None	1	6069	Chromosome scaffolds	NA
45S rDNA	2	6124	Chromosome scaffolds	45S
5S rDNA	7	6124	Chromosome scaffolds	5S
Centromere	14	6124	Chromosome scaffolds	centromere
Transposable element	1	6124	Chromosome scaffolds	ClassI_LTR
Telomere	10	6124	Chromosome scaffolds	telomere
45S rDNA	2	6244	Chromosome scaffolds	45S
5S rDNA	4	6244	Chromosome scaffolds	5S
Centromere	12	6244	Chromosome scaffolds	centromere
Transposable element	1	6244	Chromosome scaffolds	ClassI_LTR
Transposable element	1	6244	Chromosome scaffolds	ClassII_Helitrons
Other repeat	1	6244	Chromosome scaffolds	repeat_region
Telomere	6	6244	Chromosome scaffolds	telomere
None	5	6244	Chromosome scaffolds	NA
45S rDNA	1	6909	Chromosome scaffolds	45S
5S rDNA	7	6909	Chromosome scaffolds	5S
Centromere	10	6909	Chromosome scaffolds	centromere
Transposable element	1	6909	Chromosome scaffolds	ClassI_LTR
Mitochondria	2	6909	Chromosome scaffolds	mitochondria
Telomere	8	6909	Chromosome scaffolds	telomere
None	3	6909	Chromosome scaffolds	NA
45S rDNA	2	6966	Chromosome scaffolds	45S
5S rDNA	2	6966	Chromosome scaffolds	5S
Centromere	13	6966	Chromosome scaffolds	centromere
Transposable element	3	6966	Chromosome scaffolds	ClassI_LTR
Mitochondria	2	6966	Chromosome scaffolds	mitochondria
Other repeat	2	6966	Chromosome scaffolds	repeat_region
Telomere	9	6966	Chromosome scaffolds	telomere
None	3	6966	Chromosome scaffolds	NA
45S rDNA	2	8236	Chromosome scaffolds	45S
5S rDNA	2	8236	Chromosome scaffolds	5S
Centromere	15	8236	Chromosome scaffolds	centromere
Transposable element	1	8236	Chromosome scaffolds	ClassII_Helitrons
Telomere	6	8236	Chromosome scaffolds	telomere
None	4	8236	Chromosome scaffolds	NA
45S rDNA	2	9075	Chromosome scaffolds	45S
5S rDNA	2	9075	Chromosome scaffolds	5S
Centromere	9	9075	Chromosome scaffolds	centromere
Transposable element	7	9075	Chromosome scaffolds	ClassI_LTR
Transposable element	1	9075	Chromosome scaffolds	ClassI_nonLTR
Transposable element	5	9075	Chromosome scaffolds	ClassII_Helitrons
Transposable element	2	9075	Chromosome scaffolds	ClassII_TIR
Other repeat	1	9075	Chromosome scaffolds	repeat_region
Telomere	8	9075	Chromosome scaffolds	telomere
None	19	9075	Chromosome scaffolds	NA
45S rDNA	2	9537	Chromosome scaffolds	45S
5S rDNA	7	9537	Chromosome scaffolds	5S
Centromere	11	9537	Chromosome scaffolds	centromere
Transposable element	2	9537	Chromosome scaffolds	ClassI_LTR
Transposable element	1	9537	Chromosome scaffolds	ClassII_Helitrons
Transposable element	1	9537	Chromosome scaffolds	ClassII_TIR
Telomere	9	9537	Chromosome scaffolds	telomere
None	7	9537	Chromosome scaffolds	NA
45S rDNA	1	9543	Chromosome scaffolds	45S
5S rDNA	6	9543	Chromosome scaffolds	5S
Centromere	8	9543	Chromosome scaffolds	centromere
Plastid	2	9543	Chromosome scaffolds	chloroplast
Transposable element	4	9543	Chromosome scaffolds	ClassI_LTR
Telomere	9	9543	Chromosome scaffolds	telomere
45S rDNA	2	9638	Chromosome scaffolds	45S
5S rDNA	4	9638	Chromosome scaffolds	5S
Centromere	14	9638	Chromosome scaffolds	centromere
Transposable element	1	9638	Chromosome scaffolds	ClassI_LTR
Mitochondria	2	9638	Chromosome scaffolds	mitochondria
Other repeat	1	9638	Chromosome scaffolds	repeat_region
Telomere	8	9638	Chromosome scaffolds	telomere
None	2	9638	Chromosome scaffolds	NA
45S rDNA	2	9728	Chromosome scaffolds	45S
5S rDNA	3	9728	Chromosome scaffolds	5S
Centromere	13	9728	Chromosome scaffolds	centromere
Plastid	2	9728	Chromosome scaffolds	chloroplast
Transposable element	2	9728	Chromosome scaffolds	ClassI_LTR
Transposable element	1	9728	Chromosome scaffolds	ClassII_Helitrons
Other repeat	4	9728	Chromosome scaffolds	repeat_region
Telomere	9	9728	Chromosome scaffolds	telomere
None	12	9728	Chromosome scaffolds	NA
45S rDNA	2	9764	Chromosome scaffolds	45S
5S rDNA	6	9764	Chromosome scaffolds	5S
Centromere	11	9764	Chromosome scaffolds	centromere
Transposable element	1	9764	Chromosome scaffolds	ClassI_LTR
Transposable element	1	9764	Chromosome scaffolds	ClassII_Helitrons
Transposable element	1	9764	Chromosome scaffolds	ClassII_TIR
Telomere	8	9764	Chromosome scaffolds	telomere
None	4	9764	Chromosome scaffolds	NA
45S rDNA	2	9888	Chromosome scaffolds	45S
5S rDNA	5	9888	Chromosome scaffolds	5S
Centromere	11	9888	Chromosome scaffolds	centromere
Transposable element	1	9888	Chromosome scaffolds	ClassII_Helitrons
Other repeat	1	9888	Chromosome scaffolds	repeat_region
Telomere	8	9888	Chromosome scaffolds	telomere
None	2	9888	Chromosome scaffolds	NA
