group	AraportID	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed.S	N_acc_where_expressed.R	N_acc_where_expressed.F	N_acc_where_expressed.P
AT1SG10000002	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10000025	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27	25	15
AT1SG10000039	NA	FALSE	FALSE	TRUE	FALSE	FALSE	7	3	10	0
AT1SG10000052	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10000053	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10000054	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10000099	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27	25	0
AT1SG10000105	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	2	0
AT1SG10000122	NA	TRUE	FALSE	TRUE	FALSE	FALSE	19	16	15	0
AT1SG10000185	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	5	0
AT1SG10000229	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10000354	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	2	3	0
AT1SG10000355	NA	FALSE	FALSE	FALSE	FALSE	TRUE	9	9	8	0
AT1SG10000365	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27	25	7
AT1SG10000418	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10000449	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10000476	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10000483	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	4	3	1
AT1SG10000484	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	1	1	1
AT1SG10000485	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	1	0
AT1SG10000510	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10000527	NA	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	13	19
AT1SG10000543	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27	22	2
AT1SG10000546	NA	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1
AT1SG10000560	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	1	1
AT1SG10000602	NA	TRUE	FALSE	TRUE	FALSE	FALSE	19	15	15	0
