accession	tissue	total_readN	uniquely_mapped_N	uniquely_mapped_%	multimapped_%	total_unmapped_%	unmapped_too_many_loci_%	unmapped_too_many_mismatches_%	unmapped_too_short_%	unmapped_other_%
1741	flowers	14930780	7758129	51.96%	37.50%	10.55%	5.92%	0.66%	3.23%	0.74%
6024	flowers	17635355	9381420	53.20%	39.05%	7.75%	3.19%	0.65%	3.12%	0.79%
6244	flowers	15149431	6470952	42.71%	49.12%	8.17%	3.25%	0.71%	3.28%	0.93%
6909	flowers	16001511	8699993	54.37%	37.84%	7.79%	3.41%	0.62%	2.91%	0.85%
6966	flowers	19115793	8814274	46.11%	46.50%	7.39%	3.09%	0.67%	3.03%	0.60%
8236	flowers	17048182	8023143	47.06%	43.97%	8.96%	4.79%	0.65%	2.72%	0.80%
9537	flowers	19416628	11511060	59.28%	32.03%	8.69%	4.20%	0.61%	2.96%	0.92%
9888	flowers	20931211	12708586	60.72%	31.46%	7.82%	3.46%	0.59%	2.89%	0.88%
9905	flowers	16962917	7189305	42.38%	50.17%	7.45%	3.97%	0.59%	2.29%	0.60%
9981	flowers	31227448	18194176	58.26%	34.20%	7.53%	3.30%	0.69%	2.82%	0.72%
10002	flowers	12604236	4698636	37.28%	54.56%	8.16%	4.08%	0.64%	2.78%	0.66%
10024	flowers	14891595	6631946	44.53%	22.64%	32.82%	28.35%	0.80%	3.01%	0.66%
22005	flowers	16141347	9427203	58.40%	34.30%	7.30%	3.66%	0.62%	2.31%	0.71%
10015	flowers	17208241	9490725	55.15%	37.02%	7.82%	4.15%	0.61%	2.40%	0.66%
