Atgrp_name	class6	UNIPROT.class	UNIPROT.Organism
AT1Gr10000002	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000005	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000024	TE	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000025	protein_thaliana	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000039	partial_or_no_homology	NA	NA
AT1Gr10000041	TE	NA	NA
AT1Gr10000052	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000053	nucl_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000054	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000097	other_species	Uncharacterized protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000106	protein_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000110	TE	NA	NA
AT1Gr10000140	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000141	TE	NA	NA
AT1Gr10000142	TE	NA	NA
AT1Gr10000148	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000170	TE	NA	NA
AT1Gr10000186	protein_thaliana	DNA-binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000221	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000222	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000230	protein_tair10	Uncharacterized protein	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000239	protein_tair10	Carbohydrate metabolic process / Carbohydrate binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000251	TE	NA	NA
AT1Gr10000252	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000278	TE	NA	NA
AT1Gr10000281	TE	NA	NA
