pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
POP1	Chr1	1	500000	0.0058596649186910005	497262	4085744	697265809	14321837
POP1	Chr1	500001	1000000	0.005011883646211084	499599	3530280	704381875	10557173
POP1	Chr1	1000001	1500000	0.005724054177841573	499661	4004180	699535657	15479234
POP1	Chr1	1500001	2000000	0.0060348752276341636	499625	4239248	702458268	12506538
POP1	Chr1	2000001	2500000	0.005166640698855085	497758	3587772	694410974	20807119
POP1	Chr1	2500001	3000000	0.005588034207769534	499771	3845980	688252766	26932414
POP1	Chr1	3000001	3500000	0.006894633569788758	499646	4762420	690743018	24253270
POP1	Chr1	3500001	4000000	0.007870427059911748	499500	5433224	690334077	24450423
POP1	Chr1	4000001	4500000	0.008713298809301002	499511	5947276	682551595	32261525
POP1	Chr1	4500001	5000000	0.005475621968334889	499699	3853416	703740328	11333234
POP1	Chr1	5000001	5500000	0.007017837196300611	499176	4837552	689322346	24998510
POP1	Chr1	5500001	6000000	0.0078176292068717	499635	5342444	683384164	31610693
POP1	Chr1	6000001	6500000	0.005746100738252881	499595	3971076	691090564	23838467
POP1	Chr1	6500001	7000000	0.0067153929247284255	499681	4529944	674561273	40482238
POP1	Chr1	7000001	7500000	0.007295218923523914	499491	4783128	655652428	59127779
POP1	Chr1	7500001	8000000	0.007417783977705782	499614	5064156	682704702	32250087
POP1	Chr1	8000001	8500000	0.008505800268128895	463414	5368228	631125565	32024162
POP1	Chr1	8500001	9000000	0.007392257444839738	426566	4289656	580290396	30154170
POP1	Chr1	9000001	9500000	0.008410278751367399	499445	5555840	660601172	54181897
POP1	Chr1	9500001	10000000	0.005630635984420192	477118	3620584	643015107	39743613
POP1	Chr1	10000001	10500000	0.007948697592290152	499446	5449644	685602130	29125130
POP1	Chr1	10500001	11000000	0.007201270720036072	499329	4956196	688239089	26307865
POP1	Chr1	11000001	11500000	0.017737762722162584	497360	10874004	613042590	98691018
POP1	Chr1	11500001	12000000	0.015409440222932858	498244	9261720	601041950	111948076
POP1	Chr1	12000001	12500000	0.01858875461379691	477033	10683384	574722956	107912698
POP1	Chr1	12500001	13000000	0.022827098335515193	429456	10764572	471569879	142985950
POP1	Chr1	13000001	13500000	0.019002025996756156	468519	9516560	500818176	169789923
POP1	Chr1	13500001	14000000	0.024306550478227683	415062	9587820	394454162	199655539
POP1	Chr1	14000001	14500000	0.011657010738785166	331327	4171004	357810771	121306632
POP1	Chr1	14500001	15000000	NA	0	0	0	0
POP1	Chr1	15000001	15500000	NA	0	0	0	0
POP1	Chr1	15500001	16000000	0.016812742871708412	196148	4205804	250155732	30546366
POP1	Chr1	16000001	16500000	0.016599593507981434	383589	6276452	378108777	186550944
POP1	Chr1	16500001	17000000	0.017364200407955995	471037	9021888	519568295	154488514
POP1	Chr1	17000001	17500000	0.01528917100094919	498362	9413868	615721284	97439031
POP1	Chr1	17500001	18000000	0.011725382324689029	498940	7200888	614128205	100013776
POP1	Chr1	18000001	18500000	0.009426183265653644	499134	6277756	665991295	48273752
POP1	Chr1	18500001	19000000	0.008826491321422653	498375	5761024	652696954	60483395
POP1	Chr1	19000001	19500000	0.014509398260340863	498395	8859036	610572254	102633853
POP1	Chr1	19500001	20000000	0.009398330629482803	499372	6159016	655330850	59273344
POP1	Chr1	20000001	20500000	0.00938524153311038	475926	6008144	640169353	40885046
POP1	Chr1	20500001	21000000	0.007937942233440791	499225	5356400	674784452	39607954
POP1	Chr1	21000001	21500000	0.01701125398775782	457426	9573832	562794019	91785449
POP1	Chr1	21500001	22000000	0.022495582400944854	411780	11034084	490500037	98762867
POP1	Chr1	22000001	22500000	0.013816854440277228	498413	9061488	655828578	57400425
POP1	Chr1	22500001	23000000	0.021234895178982905	496393	13016124	612959183	97399234
POP1	Chr1	23000001	23500000	0.01688063450915274	498427	10455852	619399229	93864118
POP1	Chr1	23500001	24000000	0.012707143662183205	498769	8537600	671874044	41877274
POP1	Chr1	24000001	24500000	0.014759089569619405	498379	9799084	663935533	49270574
POP1	Chr1	24500001	25000000	0.018381553401600376	496588	12122076	659469618	51150672
POP1	Chr1	25000001	25500000	0.009732599020041616	499103	6659188	684214770	30021657
POP1	Chr1	25500001	26000000	0.009378329407733059	499406	6505252	693647207	21011365
POP1	Chr1	26000001	26500000	0.010372526272361082	498950	7089712	683508705	30550278
POP1	Chr1	26500001	27000000	0.008183108857725156	499621	5736900	701066074	13893008
