V4	V5	acc	chr	len	merge	type	pan.b	pan.e	id	id_new
7982530	7983119	9764	1	588	0	chloroplast	9877309	9877898	1	1
8274389	8275441	6244	1	1051	0	chloroplast	10227343	10228395	2	2
11114245	11118904	22006	1	4658	0	chloroplast	14090824	14095485	3	3
11142469	11147129	22005	1	4659	0	chloroplast	14090824	14095485	3	3
12640925	12641199	220011	1	273	0	chloroplast	17243253	17243527	4	4
12649858	12650132	9728	1	273	0	chloroplast	17243253	17243527	4	4
12705931	12706199	22002	1	267	0	chloroplast	17243253	17243521	4	4
12710733	12711007	22007	1	273	0	chloroplast	17243253	17243527	4	4
12795932	12796206	8236	1	273	0	chloroplast	17243253	17243527	4	4
12808885	12809159	6244	1	273	0	chloroplast	17243253	17243527	4	4
12809093	12809367	6966	1	273	0	chloroplast	17243253	17243527	4	4
13956171	13980041	9981	1	23869	0	chloroplast	0	0	-5	5
16208335	16208661	9543	1	325	0	chloroplast	22489064	22489390	6	6
18671406	18671676	22006	1	269	0	chloroplast	27534359	27534629	7	7
21072555	21073122	22002	1	566	0	chloroplast	31440176	31440743	8	8
22271886	22272389	9764	1	502	0	chloroplast	32562617	32563120	9	9
22468293	22468698	9764	1	404	0	chloroplast	32889310	32889715	10	10
22933057	22945558	22006	1	12500	0	chloroplast	34535529	34548032	11	11
23631847	23644349	22005	1	12501	0	chloroplast	34535529	34548032	11	11
24839442	24839733	22005	1	290	0	chloroplast	36301943	36303157	12	12
1441763	1442038	22004	2	274	0	chloroplast	2504920	2505195	13	13
2736036	2736701	9764	2	664	0	chloroplast	0	0	-14	19
2989318	2989953	9075	2	634	0	chloroplast	5106627	5107265	15	15
2788879	2789509	22002	2	629	0	chloroplast	5106632	5107266	15	15
2827147	2827781	6069	2	633	0	chloroplast	5106632	5107267	15	15
2851251	2851885	6244	2	633	0	chloroplast	5106632	5107267	15	15
2860330	2860961	9981	2	630	0	chloroplast	5106632	5107266	15	15
2864266	2864897	220011	2	630	0	chloroplast	5106632	5107266	15	15
2893377	2894011	9638	2	633	0	chloroplast	5106632	5107267	15	15
2909578	2910209	10015	2	630	0	chloroplast	5106632	5107266	15	15
2911147	2911778	10024	2	630	0	chloroplast	5106632	5107266	15	15
2914132	2914757	9728	2	624	0	chloroplast	5106632	5107260	15	15
2967878	2968470	9543	2	591	0	chloroplast	5106632	5107224	15	15
2970393	2971024	6909	2	630	0	chloroplast	5106632	5107266	15	15
2994311	2994943	22004	2	631	0	chloroplast	5106632	5107266	15	15
3001163	3001794	9537	2	630	0	chloroplast	5106632	5107266	15	15
3058481	3059111	6966	2	629	0	chloroplast	5106632	5107266	15	15
3204486	3205118	9764	2	631	0	chloroplast	5107266	5106632	15	15
2914472	2915091	22005	2	618	0	chloroplast	5106632	0	-16	15
2919039	2919658	22006	2	618	0	chloroplast	5106632	0	-17	15
3064963	3065438	6966	2	474	0	chloroplast	5113118	5113593	18	18
3243447	3244169	10024	2	721	0	chloroplast	5708984	5709707	19	19
3250146	3250868	22002	2	721	0	chloroplast	5708984	5709707	19	19
3274862	3275584	6069	2	721	0	chloroplast	5708984	5709707	19	19
3298968	3299690	6244	2	721	0	chloroplast	5708984	5709707	19	19
3316058	3316744	9981	2	685	0	chloroplast	5708984	5709671	19	19
3329699	3330422	22005	2	722	0	chloroplast	5708984	5709707	19	19
3335767	3336490	22006	2	722	0	chloroplast	5708984	5709707	19	19
3365419	3366105	1741	2	685	0	chloroplast	5708984	5709671	19	19
3374009	3374731	220011	2	721	0	chloroplast	5708984	5709707	19	19
3382346	3383068	9638	2	721	0	chloroplast	5708984	5709707	19	19
3396321	3397007	6124	2	685	0	chloroplast	5708984	5709671	19	19
3416348	3417071	9543	2	722	0	chloroplast	5708984	5709707	19	19
3419428	3420150	10015	2	721	0	chloroplast	5708984	5709707	19	19
3427490	3428210	22007	2	719	0	chloroplast	5708984	5709707	19	19
3462532	3463254	6024	2	721	0	chloroplast	5708984	5709707	19	19
3469416	3470139	22003	2	722	0	chloroplast	5708984	5709707	19	19
3469635	3470356	9537	2	720	0	chloroplast	5708984	5709707	19	19
3471000	3471709	9075	2	708	0	chloroplast	5708984	5709694	19	19
3494652	3495374	22004	2	721	0	chloroplast	5708984	5709707	19	19
3537094	3537780	6966	2	685	0	chloroplast	5708984	5709671	19	19
3615874	3616596	9888	2	721	0	chloroplast	5708984	5709707	19	19
3346671	3347377	8236	2	705	0	chloroplast	5679319	5680025	20	20
3330450	3331147	9728	2	696	0	chloroplast	5679328	5680025	20	20
3354694	3355407	9728	2	712	0	chloroplast	0	0	-21	19
3371625	3372297	8236	2	671	0	chloroplast	0	0	-22	19
3404777	3405463	10002	2	685	0	chloroplast	0	0	-23	19
3512509	3512909	9905	2	399	0	chloroplast	0	0	-24	19
4934265	4934847	6069	2	581	0	chloroplast	8532663	8533245	25	25
4976989	4977570	6244	2	580	0	chloroplast	8532663	8533245	25	25
8337573	8341021	9905	2	3447	0	chloroplast	13284012	13287460	26	26
14324571	14325168	9543	2	596	0	chloroplast	22451255	22451852	27	27
17028647	17036110	22007	2	7462	0	chloroplast	26022797	26030260	28	28
18660634	18661037	22006	2	402	0	chloroplast	27779541	27779945	29	29
18676613	18677016	22005	2	402	0	chloroplast	27779541	27779945	29	29
4017734	4018025	9981	3	290	0	chloroplast	4986345	4986636	30	30
4051693	4051984	9728	3	290	0	chloroplast	4986345	4986636	30	30
6320516	6320746	9764	3	229	0	chloroplast	7814912	7815142	31	31
7092073	7093080	9075	3	1006	0	chloroplast	8952690	8953709	32	32
7100177	7101181	22002	3	1003	0	chloroplast	8952690	8953709	32	32
7106442	7107454	8236	3	1011	0	chloroplast	8952690	8953709	32	32
7109298	7110311	6909	3	1012	0	chloroplast	8952690	8953709	32	32
7109481	7110487	9537	3	1005	0	chloroplast	8952690	8953709	32	32
7138445	7139450	10015	3	1004	0	chloroplast	8952690	8953709	32	32
10283286	10317720	22003	3	34433	0	chloroplast	0	0	-33	33
10494415	10497896	22007	3	3480	0	chloroplast	13752698	13756181	34	34
10899103	10995641	9543	3	96537	0	chloroplast	0	0	-35	35
12502432	12513529	9905	3	11096	0	chloroplast	17644126	17655533	36	36
12624630	12635732	9543	3	11101	0	chloroplast	17644146	17655571	36	36
12949791	13011759	9728	3	61967	0	chloroplast	0	0	-37	37
12994485	12998669	9638	3	4183	0	chloroplast	19659051	19663327	38	38
13279285	13284350	9888	3	5064	0	chloroplast	19659051	19664174	38	38
13292869	13296622	1741	3	3752	0	chloroplast	19659051	19662837	38	38
13307156	13311340	10015	3	4183	0	chloroplast	19659051	19663327	38	38
13393309	13398380	9537	3	5070	0	chloroplast	19659051	19664174	38	38
13427351	13432434	6024	3	5082	0	chloroplast	19659051	19664174	38	38
13437680	13442766	10024	3	5085	0	chloroplast	19659051	19664174	38	38
13453928	13458995	22002	3	5066	0	chloroplast	19659051	19664174	38	38
13461087	13466173	9543	3	5085	0	chloroplast	19659051	19664174	38	38
13545277	13548215	6909	3	2937	0	chloroplast	19659051	19662016	38	38
13548343	13552097	9905	3	3753	0	chloroplast	19659051	19662837	38	38
13576059	13580393	6244	3	4333	0	chloroplast	19659051	19663423	38	38
13631624	13636702	9764	3	5077	0	chloroplast	19659051	19664174	38	38
13635465	13639702	6069	3	4236	0	chloroplast	19659051	19663327	38	38
13637571	13642653	220011	3	5081	0	chloroplast	19659051	19664174	38	38
13703485	13707722	9075	3	4236	0	chloroplast	19659051	19663327	38	38
13719891	13724973	10002	3	5081	0	chloroplast	19659051	19664174	38	38
13990509	13994748	9728	3	4238	0	chloroplast	19659051	19663327	38	38
13177418	13182487	22004	3	5068	0	chloroplast	19659065	19664174	38	38
13291073	13296120	9981	3	5046	0	chloroplast	19659065	19664174	38	38
13317499	13322547	8236	3	5047	0	chloroplast	19659065	19664174	38	38
13249570	13254564	22006	3	4993	0	chloroplast	19659142	19664174	38	38
13378724	13383713	22003	3	4988	0	chloroplast	19659142	19664174	38	38
13527290	13530409	6124	3	3118	0	chloroplast	19659516	19662645	38	38
13588549	13592201	22007	3	3651	0	chloroplast	19659666	19663327	38	38
13903534	13907091	6966	3	3556	0	chloroplast	19660608	19664174	38	38
13384061	13387606	22005	3	3544	0	chloroplast	19660623	19664174	38	38
14494203	14585750	10024	3	91546	0	chloroplast	0	0	-39	39
14855648	14857642	22004	3	1993	0	chloroplast	21246160	21248163	40	40
15648464	15648883	9981	3	418	0	chloroplast	22292501	22292920	41	41
15649690	15650262	9981	3	571	0	chloroplast	22293727	22294299	42	42
18164510	18164969	10024	3	458	0	chloroplast	27561493	27561952	43	43
18427737	18428196	22007	3	458	0	chloroplast	27561493	27561952	43	43
19384254	19385629	9543	3	1374	0	chloroplast	28875105	28876480	44	44
21509249	21510557	9764	3	1307	0	chloroplast	32101217	32102525	45	45
22476364	22479449	22006	3	3084	0	chloroplast	0	0	-46	46
22774128	22777211	22005	3	3082	0	chloroplast	0	0	-47	46
22797060	22799161	9981	3	2100	0	chloroplast	33034010	33036111	48	48
481841	484951	1741	4	3109	0	chloroplast	707299	710409	49	49
782977	783462	22007	4	484	0	chloroplast	1249801	1250286	50	50
771910	772394	10024	4	483	0	chloroplast	1249802	1250286	50	50
2963250	2964026	22004	4	775	0	chloroplast	4829679	4830455	51	51
3207808	3208374	9764	4	565	0	chloroplast	5255096	5255662	52	52
4830588	4866470	10002	4	35881	0	chloroplast	7585799	7621681	53	53
5408617	5409099	9764	4	481	0	chloroplast	8720868	8721359	54	54
5595037	5595527	6124	4	489	0	chloroplast	8720868	8721361	54	54
5597964	5598448	10024	4	483	0	chloroplast	8720868	8721361	54	54
5638819	5639309	6909	4	489	0	chloroplast	8720868	8721361	54	54
5843719	5844203	22007	4	483	0	chloroplast	8720868	8721361	54	54
5861228	5861718	6069	4	489	0	chloroplast	8720868	8721361	54	54
5923437	5923920	9728	4	482	0	chloroplast	8720868	8721361	54	54
5927404	5927889	9638	4	484	0	chloroplast	8720868	8721361	54	54
5970148	5970638	6244	4	489	0	chloroplast	8720868	8721361	54	54
5991582	5992072	6024	4	489	0	chloroplast	8720868	8721361	54	54
6142487	6142972	8236	4	484	0	chloroplast	8720868	8721361	54	54
6166061	6166546	22002	4	484	0	chloroplast	8720868	8721361	54	54
6202234	6202719	10015	4	484	0	chloroplast	8720868	8721361	54	54
6361113	6361597	9543	4	483	0	chloroplast	8720868	8721361	54	54
5482244	5482714	9537	4	469	0	chloroplast	8720883	8721361	54	54
6398060	6398505	22004	4	444	0	chloroplast	8720892	8721345	54	54
7159281	7161367	10002	4	2085	0	chloroplast	11225286	11227373	55	55
7987197	7988550	9543	4	1352	0	chloroplast	11723736	11725089	56	56
10350919	10351542	9905	4	622	0	chloroplast	15545389	15546012	57	57
12625537	12628612	9764	4	3074	0	chloroplast	20165486	20168561	58	58
14132830	14133132	9638	4	301	0	chloroplast	21640692	21640994	59	59
