cen.start.1	cen.start.2	cen.start.3	cen.start.4	cen.start.5	cen.end.1	cen.end.2	cen.end.3	cen.end.4	cen.end.5
ref	14364752	3002775	12674550	2919690	11668616	15750321	3735247	14674767	4011692	12082583
10001	14424731	3952460	12787947	2896109	11790288	15885362	6541550	16843507	7298773	13807043
10002	14286477	3028691	12761403	2838148	11861023	14765400	3809009	14513324	4410746	13171170
10012	14181034	3747419	12941798	2917368	11951813	17512373	5884368	16995604	7971392	15161873
10015	14255008	3003791	12748663	2971688	11714371	15057118	3660649	14577046	4873379	11980551
10024	14104140	2990642	12794724	2981382	11703207	14305887	3782920	14866345	4343307	11746184
1158	14413583	3279451	12715754	2943311	12371936	16625640	5377480	18177766	7535374	15373637
1622	14722036	3216354	12720522	3254169	11986440	17603478	6628479	16600739	6243269	15590019
1741	14287592	2980598	12717014	2934383	11783663	15292143	3740253	14689735	4215688	12320841
22001	14230795	2941810	21612688	2962907	11989039	14919105	3689279	23718346	4881467	12388613
22002	14249121	2904082	12703826	2946664	11702840	14548342	3676981	14474656	4856246	12105467
22003	14273692	3067116	12832606	2852727	11832207	14985692	4006515	14438551	4484483	11916214
22004	14356020	3047924	12664533	3052575	11710597	15176865	4063219	14695949	5112972	12161293
22005	14373017	2999557	12890684	3084539	11812548	15129556	3792544	14466927	4511007	12149216
22006	14340546	2992302	12783845	3012079	11748907	14411942	3841951	14425231	4450337	11932243
22007	14237436	2916533	12898612	2904659	11717876	14763783	3664025	15039288	4554586	11704707
6017	14236759	3962198	12816192	2973047	11877641	18557632	7268343	19207652	7735278	14806089
6024	14159517	3027885	12765291	3042662	11729862	14703809	3772566	14614163	4679251	11980023
6046	14633275	4108588	13035615	3051808	11847884	16789547	6298050	17804809	6597121	13457986
6069	14142651	2916311	12762875	3074253	11801049	14546707	3643776	15826996	4549070	12008335
6124	14370838	3075323	12766004	2812051	11622662	14927504	3781868	15358916	4264423	12185583
6126	14306422	3768107	12756793	2854117	11759552	16437969	6011697	16276365	5875380	12889530
6180	14376048	3609976	12720080	3013913	12367572	17277164	5377097	17085045	5840928	14255673
6184	14394420	3283432	13142311	2828109	11852756	16112111	5921808	17531659	5653591	14273202
6231	14143347	3509815	12795819	3372255	12051223	16693323	5021154	17242929	6288697	12849121
6237	14478780	3491370	12697399	2486544	11744486	15756339	5401975	15470670	11803562	12425108
6244	14354638	2943767	12787658	2994316	11913039	15284801	3688065	15199242	4698762	12814194
6909	14378217	3034661	12682070	2978652	11725509	15255985	3783721	14556587	4375332	12321927
6966	14349825	3170084	12766791	3021183	11784140	14931972	3924778	15170430	4817055	12346243
6969	14290393	3417522	12796839	2801309	11930183	16485379	5755030	18443773	7583614	14363265
8236	14332902	3032206	12734123	3058535	11700603	14869536	3672030	14805719	4936599	12221878
8241	14518761	3360331	13075981	2806799	12178171	16194174	4629015	16684220	8486109	14022838
8244	14210294	3743324	12814659	3025690	11909684	15929528	5219644	16698832	6412327	13295333
8366	14235255	3406570	12867715	2972705	11845039	18243732	6169017	16721710	7269939	13873211
9075	14290878	3037363	12704408	2895844	11733904	15026864	3857971	14851429	4313941	11765539
9452	14408927	3400355	13024829	2882750	12018145	17718137	6842682	17118431	7443902	14913352
9537	14264542	3057783	12693983	2916240	11717185	15027049	3806498	14660338	4256125	12328947
9543	14260309	3029274	12916596	2975287	11852068	14981050	3841158	15047795	4950713	12180562
9559	14234313	3378716	12827011	3128599	11921561	16541572	6913612	17634597	7681601	14673457
9638	14168111	2982075	12713304	2911862	11684985	14916033	3567661	14549112	4641882	12335120
9728	14241074	2967555	12786452	2944591	11800196	14794427	3573624	15452050	4639133	12293381
9764	14186058	3031152	12806400	3056906	11822717	15075071	3718861	14758937	4059686	11960987
9888	14146786	3243872	12744935	3020481	11675374	14425100	4059921	14482400	4696190	12147179
9905	14403713	3130600	12909733	3045828	11832081	14995452	4500908	14755203	5024850	12260659
9981	14249592	2949619	12725632	3038294	11720356	15133127	3939609	15040691	4479488	11994913
