Accession	Genome_size	Assembled_length	Unassembled_length	Centromeres	rDNA_45S	rDNA_5S	Kmer_coverage	Repeats_total
10002	135856496	119788702	5866087	8807094.19348369	5708836.59305689	1545877.42982558	32.2073426	16061808.2163662
10015	142357357	118987800	6891572	14066263.6670677	7371704.48975146	1356603.58786999	74.46552324	22794571.7446891
10024	149322793	118175937	5642027	18762038.5838155	9910020.15377487	1459166.49867232	52.57696916	30131225.2362627
1741	134910575	119342119	6812225	11460518.8023145	3629104.04912519	1682776.2030099	19.10966648	16772399.0544496
22001	147812948	119556498	11257057	17488014.2187928	7422610.13210175	3074211.83862892	39.24434435	27984836.1895235
22002	147927445	118419308	11712471	17835313.2538798	7233789.20803961	3726775.66643185	40.54787879	28795878.1283513
22003	144627942	119032764	6431692	15294929.0271825	6399980.26031836	3412163.56686739	44.27710719	25107072.8543683
22004	142577810	120666372	8154535	14246329.1454975	6747806.26739865	730650.53864582	37.07133105	21724785.951542
22005	150994883	120234914	6410583	18134931.321345	8728672.94724503	3571640.50489012	43.92871337	30435244.7734802
22006	148691621	118418819	4147575	14206042.1304716	10568630.0164989	3811386.7074309	45.28442828	28586058.8544014
22007	143863598	118505327	8367338	12702170.7908292	9427912.13921075	1926069.13327384	45.07180272	24056152.0633138
6024	139827246	119050735	4914400	13123669.580283	5836814.63979629	1928019.77073173	105.31061511	20888503.990811
6069	142527689	119735159	7265476	12908589.3924826	5527858.1296214	1392187.48981667	85.88943147	19828635.0119207
6124	143870918	119774310	9118555	12203874.9647971	8563542.28383367	2118707.0364973	94.95879918	22886124.2851281
6244	154866347	120573084	9312069	13394927.6378527	17003189.6581036	2606298.61901242	60.59898388	33004415.9149687
6909	136793334	119321643	7391393	8797444.84733311	7076639.08122998	1911725.20980988	14.50308018	17785809.138373
6966	136837672	120280946	4495284	12621402.1816785	2344824.11443649	1609178.00038165	59.57290491	16575404.2964966
8236	142557152	119526630	8823107	11556416.8137494	7589115.46835489	1076088.15666554	69.64391861	20221620.4387698
9075	145189040	118935041	6168557	15489584.052818	7860044.63718785	1721362.23894283	41.23915257	25070990.9289487
9537	140264141	118636501	4800425	12319279.4944445	6965545.45264517	1088439.43962306	41.58463425	20373264.3867127
9543	145168873	120391663	9534711	12390933.0720113	8586939.0392946	2761883.9996349	38.63179772	23739756.1109408
9638	147326196	119103297	10767380	13096992.6960194	10791665.9371798	4456371.26519843	87.14915542	28345029.8983976
9728	136140542	119826938	9663346	11145044.1880108	4079645.58901568	2191605.39744927	76.73236441	17416295.1744758
9764	138555925	118908946	6276805	10759768.2269444	6710362.59224324	3345996.9307608	31.08652463	20816127.7499484
9888	136285197	118902027	6417829	12978139.2296303	3912919.45114555	1386278.77891817	76.19904568	18277337.459694
9905	140888956	121113433	6661733	12892609.0102695	3840852.5488196	2916558.06049901	48.25980525	19650019.6195881
9981	141576109	119632304	9114079	12643350.2592997	7589573.40272035	1646259.9029658	31.21534814	21879183.5649858
