Feature	Sequence[bp]	#Node
10002	366257	20399
10015	515608	17881
10024	694268	41079
1741	526250	20494
22001f	276947	10736
22002	254164	19511
22003	907270	52734
22004	921611	42390
22005	500401	18687
22006	227500	16932
22007	652215	49635
6024	252623	15613
6069	221920	15710
6124	425296	18217
6244	720712	14886
6909	54772	1028
6966	352050	19132
8236	475540	18765
9075	504123	28287
9537	487941	31560
9543	634956	39039
9638	773225	19086
9728	354315	19787
9764	864703	56111
9888	360502	23031
9905	731611	45320
9981	845760	27705
TAIR10	448371	1743
0	0	0
1	14298917	699029
2	4570628	300257
3	2302226	166226
4	1531037	125796
5	1127108	99773
6	820094	80450
7	658283	70184
8	616344	66864
9	544025	61966
10	399676	55502
11	421431	56079
12	425901	54804
13	323694	48495
14	377669	49887
15	311383	48812
16	350613	54629
17	355105	56895
18	389864	60442
19	365695	62980
20	419550	66948
21	383250	68276
22	395937	74403
23	442780	88590
24	536723	109733
25	735569	143803
26	1051347	216904
27	1669514	379214
28	20313293	739308
