Accession	Centromeres	rDNA_45S	rDNA_5S	Kmer_coverage	Genome_size	Repeats_total	nonRepeats
108	10170164.99837	5168380.84684034	1825523.55964459	28.67463842	137686985	17164069.4048549	120522915.595145
1741	11460518.8023145	3629104.04912519	1682776.2030099	19.10966648	134910575	16772399.0544496	118138175.94555
1925	11780635.2896306	5630184.12277093	842427.151351106	19.15078826	143727735	18253246.5637526	125474488.436247
5784	13125552.5134393	6601683.45641845	1235925.6493211	23.09829561	142288368	20963161.6191789	121325206.380821
5993	13043409.6590592	5834355.12701118	2015670.61051745	22.39451613	141115032	20893435.3965878	120221596.603412
6024	13123669.580283	5836814.63979629	1928019.77073173	105.31061511	139827246	20888503.990811	118938742.009189
6069	12908589.3924826	5527858.1296214	1392187.48981667	85.88943147	142527689	19828635.0119207	122699053.988079
6124	12203874.9647971	8563542.28383367	2118707.0364973	94.95879918	143870918	22886124.2851281	120984793.714872
6244	13394927.6378527	17003189.6581036	2606298.61901242	60.59898388	154866347	33004415.9149687	121861931.085031
6899	22877734.8785808	4287381.35928873	2765675.53243414	24.34227125	152096487	29930791.7703037	122165695.229696
6906	11269729.194339	8249892.3580866	1260976.92466648	19.46186605	141828866	20780598.4770921	121048267.522908
6909	8797444.84733311	7076639.08122998	1911725.20980988	14.50308018	136793334	17785809.138373	119007524.861627
6911	12626355.7803282	6155499.47743218	2459990.04599634	15.22963073	140580239	21241845.3037567	119338393.696243
6924	17540819.0834151	6503310.54087161	2431721.48498184	16.0918116	146388682	26475851.1092685	119912830.890731
6939	12945650.480036	5750834.53483966	1140317.53567008	18.95747397	143802826	19836802.5505457	123966023.449454
6966	12621402.1816785	2344824.11443649	1609178.00038165	59.57290491	136837672	16575404.2964966	120262267.703503
6974	13766798.8821339	5230621.08330251	723796.361608478	36.48647244	138571734	19721216.3270449	118850517.672955
6981	30849779.8226615	9086528.70960698	2895430.67207133	22.58408624	168855148	42831739.2043398	126023408.79566
7058	14910475.1459871	6130922.74321758	2121506.34801505	13.37851665	143327139	23162904.2372197	120164234.76278
7067	15388917.8135325	7289276.09079566	2393430.29143542	15.10388338	148138927	25071624.1957636	123067302.804236
7111	15533276.8223624	6477328.45057447	2511277.79366143	17.08398653	145254958	24521883.0665983	120733074.933402
7167	15349732.3506359	13652951.1901661	1561878.04681378	12.26735214	153139132	30564561.5876158	122574570.412384
7186	13483715.5040022	4046893.36112963	1500923.28286986	16.43145941	140005462	19031532.1480017	120973929.851998
7213	8852228.06509021	5854889.11049734	1678367.11511656	19.25613515	138728816	16385484.2907041	122343331.709296
7273	14567885.9687861	3833237.79894776	1938203.82331667	16.92690707	142834043	20339327.5910505	122494715.408949
7288	16163903.6874649	7677189.29315923	1623710.97355034	20.96477055	148092738	25464803.9541745	122627934.045826
7322	19332200.3069815	6247274.74232101	1683995.17409819	13.88671438	149270100	27263470.2234007	122006629.776599
7328	14251438.3308863	7767858.42669375	1659922.32424656	11.1204071	144840883	23679219.0818266	121161663.918173
7373	12298638.584997	8396438.04391016	2446389.00581128	19.66156972	146285090	23141465.6347184	123143624.365282
7386	12293654.6373686	9854344.87052476	941242.216548277	13.64940052	143729482	23089241.7244416	120640240.275558
7413	11471177.0797377	4118243.52311628	1234654.09229889	15.76185275	141248073	16824074.6951529	124423998.304847
7415	19236491.0225211	7839067.92111422	1407080.24606412	15.60425005	149938060	28482639.1896994	121455420.810301
7416	14112589.6553738	6452794.33073312	1464251.54051636	18.64261928	143594323	22029635.5266233	121564687.473377
7417	15887292.9999225	8279965.34022158	3189221.52776079	12.31468923	147750677	27356479.8679049	120394197.132095
8236	11556416.8137494	7589115.46835489	1076088.15666554	69.64391861	142557152	20221620.4387698	122335531.56123
9075	15489584.052818	7860044.63718785	1721362.23894283	41.23915257	145189040	25070990.9289487	120118049.071051
9100	10184832.4478448	3527356.16421279	2118706.27406815	26.45967338	136988629	15830894.8861257	121157734.113874
9134	12835682.6886959	7129414.23268071	1433267.71294365	16.14631781	144108300	21398364.6343203	122709935.36568
9332	15010828.5983024	7627275.3094866	2179155.16834289	18.15517526	147266290	24817259.0761319	122449030.923868
9518	15349327.8931412	7778672.64852557	2532555.10158057	19.86933748	147821870	25660555.6432473	122161314.356753
9533	11529633.3232188	8382254.0049434	2767710.66834431	17.81279545	142891260	22679597.9965065	120211662.003493
9536	13600562.7715307	3570556.53809098	2386648.51994299	40.34900623	138235098	19557767.8295647	118677330.170435
9537	12319279.4944445	6965545.45264517	1088439.43962306	41.58463425	140264141	20373264.3867127	119890876.613287
9542	16638910.8121907	6129312.9201779	3458912.67682211	17.03671804	145722985	26227136.4091907	119495848.590809
9543	12390933.0720113	8586939.0392946	2761883.9996349	38.63179772	145168873	23739756.1109408	121429116.889059
9545	16055293.4946406	5766105.91127592	3895202.40469844	38.22936231	142792217	25716601.810615	117075615.189385
9549	12692315.8204819	4341222.30254377	2418013.49777506	31.83797612	136837847	19451551.6208007	117386295.379199
9550	15848284.5908527	5658118.74050452	1389915.06566676	23.14677263	142245474	22896318.397024	119349155.602976
9554	11705864.0264454	5631900.44796192	2848029.52943969	23.47276505	138015730	20185794.003847	117829935.996153
9555	10058537.1790917	5320613.52814193	2645284.10398278	26.9829709	137446476	18024434.8112164	119422041.188784
9557	13011075.520866	7245559.26056178	1971724.55868806	21.63284715	144236689	22228359.3401158	122008329.659884
9580	13689739.6658934	10642534.3274666	2320819.21560129	23.43958876	146647389	26653093.2089613	119994295.791039
9583	11599131.7001827	5587153.67907658	3264290.56120744	28.27259837	139231412	20450575.9404667	118780836.059533
9597	13189982.4170218	6217643.85780273	3050156.06825179	20.10729898	143081112	22457782.3430763	120623329.656924
9598	12365239.7981951	7419795.46299351	4776128.57916723	64.51354709	144389530	24561163.8403558	119828366.159644
9600	12069231.8481235	11815171.6197817	1295250.74794049	14.15461217	150314574	25179654.2158457	125134919.784154
9610	9584271.25844112	4460826.31450726	858465.518745477	18.67152454	135420949	14903563.0916939	120517385.908306
9638	13096992.6960194	10791665.9371798	4456371.26519843	87.14915542	147326196	28345029.8983976	118981166.101602
9654	12419429.0388044	5168465.22454304	1881680.50444081	22.91200015	138135561	19469574.7677882	118665986.232212
9655	10990070.4714231	6742070.70040925	1630755.55272428	20.92249077	139324891	19362896.7245566	119961994.275443
9669	9495592.46389154	6759983.39214784	992098.472343941	24.79316387	137729327	17247674.3283833	120481652.671617
9721	9947480.07471344	4784164.11667265	1237086.8570382	14.13230114	137710670	15968731.0484243	121741938.951576
9728	11145044.1880108	4079645.58901568	2191605.39744927	76.73236441	136140542	17416295.1744758	118724246.825524
9762	11024411.7308603	8717536.45405588	3364520.11765893	23.41549738	143942155	23106468.3025751	120835686.697425
9764	10759768.2269444	6710362.59224324	3345996.9307608	31.08652463	138555925	20816127.7499484	117739797.250052
9784	11324545.0691517	3871777.29798498	2030088.97637803	22.58582384	136141235	17226411.3435147	118914823.656485
