Type	Length	Accession	Type2
45S rDNA	90192	1741	45S
5S rDNA	345289	1741	5S
Centromere	684084	1741	centromere
Nuclear organellar insertion	7549	1741	chloroplast
Transposable element	7940832	1741	ClassI_LTR
Transposable element	83183	1741	ClassI_nonLTR
Transposable element	6277680	1741	ClassII_Helitrons
Transposable element	2186328	1741	ClassII_TIR
Nuclear organellar insertion	10156	1741	mitochondria
Other repeat	1136124	1741	repeat_region
Telomere	126536	1741	telomere
Non-repetitive genome	100454166	1741	Nonrepetitive_genome
45S rDNA	94321	6024	45S
5S rDNA	289594	6024	5S
Centromere	980818	6024	centromere
Nuclear organellar insertion	6557	6024	chloroplast
Transposable element	7474802	6024	ClassI_LTR
Transposable element	133095	6024	ClassI_nonLTR
Transposable element	4654946	6024	ClassII_Helitrons
Transposable element	2613262	6024	ClassII_TIR
Nuclear organellar insertion	2665	6024	mitochondria
Other repeat	1399476	6024	repeat_region
Telomere	87020	6024	telomere
Non-repetitive genome	101314179	6024	Nonrepetitive_genome
45S rDNA	138200	6069	45S
5S rDNA	203559	6069	5S
Centromere	878369	6069	centromere
Nuclear organellar insertion	77921	6069	chloroplast
Transposable element	7933896	6069	ClassI_LTR
Transposable element	234331	6069	ClassI_nonLTR
Transposable element	6285485	6069	ClassII_Helitrons
Transposable element	2149501	6069	ClassII_TIR
Nuclear organellar insertion	10509	6069	mitochondria
polinton	12925	6069	polinton
Other repeat	1216384	6069	repeat_region
Telomere	76563	6069	telomere
Non-repetitive genome	100517516	6069	Nonrepetitive_genome
45S rDNA	84474	6124	45S
5S rDNA	371806	6124	5S
Centromere	947699	6124	centromere
Nuclear organellar insertion	4683	6124	chloroplast
Transposable element	7614837	6124	ClassI_LTR
Transposable element	171163	6124	ClassI_nonLTR
Transposable element	6107541	6124	ClassII_Helitrons
Transposable element	2144665	6124	ClassII_TIR
Nuclear organellar insertion	13645	6124	mitochondria
Other repeat	938887	6124	repeat_region
Telomere	133480	6124	telomere
Non-repetitive genome	101241430	6124	Nonrepetitive_genome
45S rDNA	72234	6244	45S
5S rDNA	380456	6244	5S
Centromere	1660535	6244	centromere
Nuclear organellar insertion	8342	6244	chloroplast
Transposable element	7408803	6244	ClassI_LTR
Transposable element	182058	6244	ClassI_nonLTR
Transposable element	6200506	6244	ClassII_Helitrons
Transposable element	2701127	6244	ClassII_TIR
Nuclear organellar insertion	6862	6244	mitochondria
Other repeat	1096709	6244	repeat_region
Telomere	127010	6244	telomere
Non-repetitive genome	100728442	6244	Nonrepetitive_genome
45S rDNA	84008	6909	45S
5S rDNA	421351	6909	5S
Centromere	811054	6909	centromere
Nuclear organellar insertion	5072	6909	chloroplast
Transposable element	7179917	6909	ClassI_LTR
Transposable element	194811	6909	ClassI_nonLTR
