group	V1	V2	V3	V4	V5	V6	V7	V8	V9	tair.only	len	simgr	dup	te	have.tair	not.detect	chr	cnv	is.te	category	annot	go	sv	in.sv	genes.tes$V9	Ar11_id	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed	N_acc_where_readspresent
AT1Gr10000002	PanGen_Chr_1	Consensus	gene	23674	25188	.	+	.	ID=AT1Gr10000002	0	1515		TRUE	0.1	0	0	1	1	FALSE	new_genes	nucl_tair10	Uncharacterized protein	1515	1	ID=AT1Gr10000002	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	2
AT1Gr10000005	PanGen_Chr_1	Consensus	gene	78983	82231	.	+	.	ID=AT1Gr10000005	0	3249		TRUE	0.2	0	0	1	0	FALSE	new_genes	TE-like	Reverse transcriptase	3249	1	ID=AT1Gr10000005	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000024	PanGen_Chr_1	Consensus	gene	186496	188462	.	+	.	ID=AT1Gr10000024	0	1967		FALSE	0.6	0	0	1	0	TRUE	new_genes	TE	Zinc-finger / Zinc knuckle	1646	0.836807320793086	ID=AT1Gr10000024	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	1
AT1Gr10000025	PanGen_Chr_1	Consensus	gene	200111	200643	.	+	.	ID=AT1Gr10000025	0	533		FALSE	0	0	0	1	0	FALSE	new_genes	protein_thaliana	Signal peptide / Secreted	0	0	ID=AT1Gr10000025	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000039	PanGen_Chr_1	Consensus	gene	277923	278186	.	+	.	ID=AT1Gr10000039	0	264		FALSE	0	0	0	1	1	FALSE	new_genes	partial_or_no_homology	NA	5	0.0189393939393939	ID=AT1Gr10000039	NA	FALSE	FALSE	TRUE	FALSE	FALSE	10	16
AT1Gr10000041	PanGen_Chr_1	Consensus	gene	297967	300122	.	+	.	ID=AT1Gr10000041	0	2156		FALSE	0.6	0	0	1	0	TRUE	new_genes	TE	NA	1268	0.588126159554731	ID=AT1Gr10000041	NA	TRUE	FALSE	TRUE	FALSE	FALSE	22	27
AT1Gr10000052	PanGen_Chr_1	Consensus	gene	352733	357059	.	+	.	ID=AT1Gr10000052	0	4327		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Membrane / Transmembrane	4327	1	ID=AT1Gr10000052	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000053	PanGen_Chr_1	Consensus	gene	359581	361072	.	+	.	ID=AT1Gr10000053	0	1492		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Other	1492	1	ID=AT1Gr10000053	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000054	PanGen_Chr_1	Consensus	gene	361426	361908	.	+	.	ID=AT1Gr10000054	0	483		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Uncharacterized protein	483	1	ID=AT1Gr10000054	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000097	PanGen_Chr_1	Consensus	gene	710875	712567	.	+	.	ID=AT1Gr10000097	0	1693		FALSE	0	0	0	1	0	FALSE	new_genes	other_species	Uncharacterized protein	161	0.0950974601299468	ID=AT1Gr10000097	NA	TRUE	FALSE	TRUE	FALSE	FALSE	22	25
