Accession	Node:0	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Seq:0	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27
10002#1#Chr4	15936	12630	13605	10460	11279	10431	13364	12301	12366	13171	16512	19322	20220	16848	17720	19237	23102	27846	34240	35937	44042	54154	61432	73335	87419	133294	226768	434519	328510	178856	242918	158812	138073	139805	478621	149246	115958	100517	143759	201763	175067	128854	148201	112485	135828	153113	250053	196870	263414	308501	362920	455361	441465	687821	1111079	11415828
10015#1#Chr4	6172	15578	10352	15623	10646	12716	11799	12458	14156	17866	22077	26923	28580	25570	26857	30763	34747	39268	42141	43445	47907	56240	64215	73862	93674	139746	231511	434519	175697	221469	107250	212279	100051	126299	104057	100287	92073	164756	163317	261662	243268	184846	194067	228806	237342	255123	318966	268708	308486	332104	394350	432149	483756	751417	1152046	11415828
10024#1#Chr4	32880	28919	14212	14016	14298	15677	13834	14669	16319	17411	17702	19216	20133	21756	23816	26351	27903	32866	33867	35071	39040	44903	56763	65263	79756	122057	219780	434519	557265	543503	242475	167722	162305	137002	104491	105059	122903	143462	128431	154286	137311	162643	183679	192324	173534	205656	242696	197620	232033	251882	328328	397693	396842	599240	1091098	11415828
1741#1#Chr4	7790	7416	14089	14054	13227	12622	15087	13016	11068	11062	11446	13302	14339	15504	16899	19138	23672	27948	31913	35218	44666	56787	64558	74891	93826	140881	230188	434519	131939	136786	160419	164942	220154	159629	519839	180734	74353	84199	71445	101553	113973	117736	116400	126201	148358	184614	219162	191572	259890	324409	394054	455193	490222	756264	1152066	11415828
22001f#1#Chr4	6284	22487	12689	17888	13395	13271	11120	11770	13601	16078	20805	23402	23803	23021	25691	29615	33223	37872	39567	41467	45550	53168	60461	72216	90895	133357	231491	434519	221675	442288	162069	247823	153727	133775	86174	83374	91002	120089	172108	234117	187122	158458	190576	222631	224633	243620	295179	259580	288461	305079	357603	441566	468117	720720	1145365	11415828
22002#1#Chr4	5200	20889	11452	15678	11306	12760	11210	12388	14441	17917	22609	26242	27684	25709	27610	31863	34745	38790	40551	42422	46971	55366	63258	73504	92585	135221	232197	434519	76536	247503	142511	195490	119414	134862	78450	99409	101935	150802	189043	258878	215903	189449	201961	242971	238827	259534	302493	264472	294861	325560	381833	447386	478311	735753	1154991	11415828
22003#1#Chr4	34252	12212	12939	13035	12927	12946	12083	13623	15153	17247	19812	23536	22194	20390	20793	22154	24880	30230	35019	36521	42925	51380	59330	70691	86768	131647	216326	434519	611548	161436	249609	175092	138013	157558	106501	124003	114891	139879	152784	241001	170866	152553	171011	153084	147854	175502	242587	221680	264968	292359	359867	435879	449135	678846	1080152	11415828
22004#1#Chr4	27400	13876	15039	12306	14751	15237	12715	14176	16596	18901	22550	27264	26251	23733	25855	29375	33546	37867	38705	41035	45924	55326	65205	74367	89730	136476	221920	434519	575003	163864	250856	147886	209900	167877	106376	104610	116384	154572	174267	286611	207766	174889	196728	203322	228501	249921	275839	246405	280914	316765	399954	462240	451942	723132	1121305	11415828
22005#1#Chr4	13520	35148	30283	26199	23060	16639	14141	14131	14398	13498	13283	15234	17042	18324	19740	21560	25657	30315	31067	33884	37123	45813	56917	65179	84457	127288	230250	434519	571921	494388	430949	402775	402468	160326	120295	110751	106023	91827	87636	110003	118225	138642	157164	146540	152372	181672	209284	199800	210227	260642	335996	364480	434297	689971	1150027	11415828
22006#1#Chr4	12617	33682	29667	25402	22375	16428	13748	13883	13984	13357	13438	15081	17339	18114	19268	21347	25244	29596	30652	33377	36657	44794	55554	62858	80768	123923	226477	434519	310126	463249	417894	400200	381143	163802	115691	112241	105460	90722	98289	107998	131440	138688	153665	146466	151738	179056	204889	196534	211171	254798	330367	352377	413499	666222	1084778	11415828
22007#1#Chr4	39638	29490	16853	16854	20453	16670	14372	14025	15140	17205	17923	20286	20707	20945	23620	26702	29130	32580	33409	34171	37733	43606	55005	64471	79693	120740	216758	434519	550485	438015	264465	189272	314750	151864	117699	102095	111627	130247	121503	184511	147054	150131	176445	185605	199258	210412	228963	193797	222352	238056	319131	392166	395435	585362	1073859	11415828
6024#1#Chr4	15062	12129	10898	11965	10100	10941	11137	11918	14499	16282	20297	23391	24125	22678	25543	29911	34314	39113	41202	42525	47119	56224	65279	75121	90165	138186	229784	434519	284785	187775	131133	174583	122237	101899	107345	94780	124132	118768	174180	226093	203508	149438	196754	218567	232809	261097	305785	258724	297136	316073	397655	474987	455248	735944	1146853	11415828
6069#1#Chr4	6279	17164	16958	11707	10962	12566	14050	11589	11870	12381	13746	13842	15497	15531	18640	22350	28598	34484	39283	38948	45635	55904	65128	74651	91475	139057	231459	434519	190906	248898	250492	120418	128269	173653	494118	96739	97628	92072	110668	97870	133827	101412	119697	128540	189624	215751	305086	220484	285269	319024	401260	455624	471441	742205	1157199	11415828
6124#1#Chr4	13191	9816	13046	9091	10040	9964	11381	12246	13230	14585	17399	18482	19696	20065	22636	28350	32204	35548	35770	39706	47038	55502	62314	74717	93365	139224	228559	434519	294096	133650	160204	83286	93562	78508	111063	128834	90786	113413	146634	161514	162144	136100	122483	196990	219885	220463	231972	234434	304292	328379	373330	458284	484249	743483	1141028	11415828
6244#1#Chr4	6912	17257	17182	10796	10910	11965	14340	11406	11838	12307	13301	13465	15351	16140	19096	22502	28085	33522	38568	38123	45300	56408	65210	74991	91592	138385	230502	434519	399670	265710	253170	111636	118353	132484	490974	94799	85286	98701	88724	109343	112729	115008	137285	129375	187057	207848	301166	211836	278867	322765	404416	459505	474561	736606	1141502	11415828
6909#1#Chr4	418	9088	13340	13219	11617	12037	15395	12927	12073	12118	11688	12838	13629	15454	17881	18787	23345	27219	31228	35826	44446	57204	66036	75787	94054	140643	234579	434519	38523	131655	122593	137639	177177	124575	523789	181353	90073	117579	85895	94599	96396	114971	145682	112905	144237	175073	211326	202777	262559	329060	412828	466470	489091	758505	1166825	11415828
