Accession.x Chromosome.x Gap_for_centromere End
10002 Chr1 1 14388446
10002 Chr2 1 3538126
10002 Chr3 1 13799131
10002 Chr4 2 4020221
10002 Chr5 2 13032809
10015 Chr1 1 14433009
10015 Chr2 1 3563672
10015 Chr3 1 13367722
10015 Chr4 2 4378318
10015 Chr5 2 11877961
10024 Chr1 1 13919524
10024 Chr2 1 3359140
10024 Chr3 2 13487343
10024 Chr4 3 3865512
10024 Chr5 2 11721021
1741 Chr1 3 14418652
1741 Chr2 2 3501689
1741 Chr3 1 13385283
1741 Chr4 1 4131741
1741 Chr5 2 12132950
220011 Chr1 1 14668463
220011 Chr2 1 3499835
220011 Chr3 1 13878656
220011 Chr4 2 4295349
220011 Chr5 3 12866736
22002 Chr1 1 14485742
22002 Chr2 1 3427899
22002 Chr3 1 13508805
22002 Chr4 2 4382165
22002 Chr5 2 11831968
22003 Chr1 1 14503156
22003 Chr2 1 3587788
22003 Chr3 1 13422626
22003 Chr4 2 4347935
22003 Chr5 2 11969821
22004 Chr1 1 14809642
22004 Chr2 1 3666064
22004 Chr3 1 13226566
22004 Chr4 2 4596685
22004 Chr5 2 12081055
22005 Chr1 1 14239343
22005 Chr2 1 3474641
22005 Chr3 1 13471287
22005 Chr4 2 4509624
22005 Chr5 2 12220053
22006 Chr1 1 14146522
22006 Chr2 1 3461296
22006 Chr3 2 13288268
22006 Chr4 2 4431699
22006 Chr5 2 12093437
22007 Chr1 1 14529165
22007 Chr2 1 3587343
22007 Chr3 2 13649246
22007 Chr4 2 4020461
22007 Chr5 2 11777604
6024 Chr1 1 14238974
6024 Chr2 1 3572020
6024 Chr3 1 13511734
6024 Chr4 2 4514835
6024 Chr5 2 12349045
6069 Chr1 1 14209078
6069 Chr2 1 3463187
6069 Chr3 1 13701225
6069 Chr4 2 4283685
6069 Chr5 3 11828588
6124 Chr1 1 14453826
6124 Chr2 1 3524742
6124 Chr3 1 13569821
6124 Chr4 2 3812838
6124 Chr5 2 11822634
6244 Chr1 1 14448846
6244 Chr2 1 3506134
6244 Chr3 1 13669877
6244 Chr4 2 4416727
6244 Chr5 2 12135040
6909 Chr1 1 14736983
6909 Chr2 2 3551316
6909 Chr3 1 13636788
6909 Chr4 3 4319951
6909 Chr5 2 11828678
6966 Chr1 1 14704962
6966 Chr2 2 3660603
6966 Chr3 1 13971672
6966 Chr4 5 4442905
6966 Chr5 2 12135702
8236 Chr1 2 14606993
8236 Chr2 1 3501699
8236 Chr3 1 13419747
8236 Chr4 3 4524793
8236 Chr5 2 11883183
9075 Chr1 4 14689399
9075 Chr2 2 3621874
9075 Chr3 2 13758557
9075 Chr4 2 4073077
9075 Chr5 2 11983115
9537 Chr1 1 14615719
9537 Chr2 2 3607810
9537 Chr3 1 13472471
9537 Chr4 5 4071999
9537 Chr5 2 12034476
9543 Chr1 1 14649601
9543 Chr2 1 3552248
9543 Chr3 2 13557920
9543 Chr4 2 4442062
9543 Chr5 3 12209250
9638 Chr1 1 14422167
9638 Chr2 1 3529377
9638 Chr3 1 13109771
9638 Chr4 2 4066223
9638 Chr5 2 11909924
9728 Chr1 2 14317953
9728 Chr2 1 3487218
9728 Chr3 3 14063158
9728 Chr4 2 4303224
9728 Chr5 2 11977274
9764 Chr1 1 14584407
9764 Chr2 2 3668558
9764 Chr3 1 13672369
9764 Chr4 2 4000519
9764 Chr5 2 12084593
9888 Chr1 1 14156713
9888 Chr2 1 3796058
9888 Chr3 2 13364281
9888 Chr4 2 4454991
9888 Chr5 2 11929785
9905 Chr1 1 14555336
9905 Chr2 1 4222676
9905 Chr3 1 13617437
9905 Chr4 3 4506531
9905 Chr5 3 12261492
9981 Chr1 1 14663803
9981 Chr2 1 3474157
9981 Chr3 1 13390172
9981 Chr4 2 4460328
9981 Chr5 2 12172168
0 Chr1 1 15057536
0 Chr2 1 3369011
0 Chr3 1 13674658
0 Chr4 1 3465691
0 Chr5 1 11875600
